KEY_municip,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2402,0.7917298555374148,0.8038497999310495,0.8202941477298742,0.8204835206270231,0.8897383153438568,0.8897383153438568,0.4333851471543313,0.7079736731946471,0.7079736731946471,0.7079736731946471,0.7079736731946471,0.7079736731946471,0.17196525633335125,0.17196525633335125,0.13896673992276204,0.12694593276828514,0.18857802813872698,0.25615830682218055,0.3211902603507042,0.32496119169518345,0.36048820130527015,0.39889863133430475,0.42351029962301273
2406,0.6554279972586713,0.6976042851021415,0.7184744774249562,0.6874421697959564,0.7247113353327701,0.7247113353327701,0.4031909388408325,0.6036701828764197,0.6036701828764197,0.6036701828764197,0.6036701828764197,0.6036701828764197,0.40760344201943977,0.40760344201943977,0.3852608479281658,0.37989540837313013,0.41830781243349374,0.45781387744896246,0.4934065052291804,0.4915270005597879,0.5099547693081071,0.525084741544305,0.5435761106641668
2423,0.9894642996788023,0.9903983283042909,0.9276991236209868,0.8893668973445891,0.8079150080680847,0.8079150080680847,0.68955118060112,0.8790077209472656,0.8790077209472656,0.8790077209472656,0.8790077209472656,0.8790077209472656,0.4183409126102925,0.4183409126102925,0.3995616519451141,0.38726328253746034,0.40744285501539707,0.43307412475347523,0.48301194280385973,0.48591946400702,0.5107723391056062,0.5320301043987274,0.5468569684028626
2424,0.6258812377850215,0.6185531650980314,0.590427448352178,0.6007295394937199,0.7632567286491394,0.7632567286491394,0.1196643479401246,0.47363052306075887,0.47363052306075887,0.47363052306075887,0.47363052306075887,0.47363052306075887,0.1413937622991701,0.1413937622991701,0.12676750896498562,0.1029165521264076,0.146106515545398,0.17047123465066158,0.23635633423303568,0.23664403576403856,0.2819548539351672,0.33427069447934626,0.38241866280635195
2425,1.0244889918495625,0.9591995379504037,0.812850056325688,0.8157818422597999,0.7604149941135855,0.7604149941135855,0.5827803191016703,0.6924751292256749,0.6924751292256749,0.6924751292256749,0.6924751292256749,0.6924751292256749,0.5157449703882723,0.5157449703882723,0.4700148504008265,0.44744156097226284,0.44453817992745076,0.47046266526860353,0.5017993966884472,0.49051342141978876,0.4937050047385341,0.49691220310461864,0.5067290009602028
2426,0.6182275885885412,0.6314411992376502,0.32117850800595166,0.5993826768615029,0.5525067135691643,0.5525067135691643,-0.1533334841613065,-0.06853612905198873,-0.06853612905198873,-0.06853612905198873,-0.06853612905198873,-0.06853612905198873,0.08689706284891477,0.08689706284891477,0.06188596446405756,0.05561645494943317,0.09802168071777984,0.125932194868272,0.18303525322540243,0.18069324188611724,0.19319149306551975,0.2533888758922165,0.29126232842152766
2443,0.2855406124558713,0.2038763365811772,0.024796649648083702,0.26408369648787716,0.21812210083007813,0.21812210083007813,0.11638469936119182,0.13410641617245156,0.13410641617245156,0.13410641617245156,0.13410641617245156,0.13410641617245156,-0.035969629594021384,-0.035969629594021384,-0.07672119012309457,-0.08368665183532152,-0.027493770544727687,0.05270583397812314,0.11665149297979142,0.12190294674494193,0.1712470088154076,0.2687498016489877,0.3087235122919083
2450,0.39809031784534454,0.467019908130169,-0.05223170593380949,0.7393804192543025,0.629293182492256,0.629293182492256,0.13041884750127797,0.4111605376005171,0.4111605376005171,0.4111605376005171,0.4111605376005171,0.4111605376005171,0.025267830491066012,0.025267830491066012,-0.06640262901782999,-0.08995067924261098,-0.014237025380134521,0.072103101015091,0.1483809616416695,0.15435325466096408,0.19684061333537084,0.27922264486551296,0.33980394825339355
3301,0.843572313130668,0.8976183815083156,0.9009432154397169,0.9122095997949756,0.8794926229631527,0.8794926229631527,0.8477512689229724,0.8584653853904457,0.8584653853904457,0.8584653853904457,0.8584653853904457,0.8584653853904457,0.3371389540586582,0.3371389540586582,0.29410227054225585,0.28275308080483225,0.3372932435983482,0.38239515769916305,0.41928589345188816,0.4079409396043048,0.43079021592081207,0.47495681735454126,0.49998105084135486
3381,0.8097485029697407,0.814611778259278,0.8444000840187066,0.8352293801307671,0.8485061800479892,0.8485061800479892,0.8668858230113976,0.8924598908424386,0.8924598908424386,0.8924598908424386,0.8924598908424386,0.8924598908424386,0.2516862365603448,0.2516862365603448,0.1473474033921956,0.13687247563153504,0.2127667121589183,0.3293716195225714,0.3924580812454223,0.3786462673917411,0.4087329172343015,0.45429097443819055,0.4897846376895904
3461,0.8648575771600003,0.8906695097684867,0.8789171604439614,0.9027910128235812,0.8634304666891691,0.8634304666891691,0.7637914804741746,0.7548371806740763,0.7548371806740763,0.7548371806740763,0.7548371806740763,0.7548371806740763,0.6670628244872205,0.6670628244872205,0.6689094158820806,0.6753529970534147,0.6863053436856716,0.700716979743447,0.7185013586073183,0.7168837719305886,0.7278064309968612,0.7452361606061461,0.7583196151768788
3485,0.40040745735168504,0.469462913274765,0.397956484556198,0.581058704853058,0.551233667135239,0.551233667135239,0.144509410858154,0.34350528120994606,0.34350528120994606,0.34350528120994606,0.34350528120994606,0.34350528120994606,0.23807353973388698,0.23807353973388698,0.249711143970489,0.20277268141508104,0.269270312786102,0.31351850032806394,0.364811846613884,0.33159672021865805,0.331522488594055,0.41408590972423603,0.461080896854401
5303,0.9641176360917384,1.0135555388697661,0.9955644122268785,1.0055899380560382,0.9616248232054425,0.9616248232054425,0.899136085790324,0.917233790515597,0.917233790515597,0.917233790515597,0.917233790515597,0.917233790515597,0.6982835340885871,0.6982835340885871,0.679772072826675,0.6792013153332812,0.7060696237686885,0.7298306746924497,0.7537556931668198,0.7575594154556833,0.7639863735805432,0.7742668842515312,0.7833137661173765
5349,0.4961341156775868,0.5301119244722432,0.4694994841897211,0.5000582268071728,0.49710955924766004,0.49710955924766004,0.4136883549912032,0.3829487353909848,0.3829487353909848,0.3829487353909848,0.3829487353909848,0.3829487353909848,0.4195299429948938,0.4195299429948938,0.38395049888207466,0.369481099674175,0.34989922618450137,0.3498943314476068,0.3785496208340276,0.36829393791078147,0.3840079994807236,0.41161688881558034,0.43515716784222186
5463,0.8337676101717456,0.8950172627794332,0.9005158586748713,0.9062952882257004,0.8498092978165065,0.8498092978165065,0.8321799952408365,0.8404794746945643,0.8404794746945643,0.8404794746945643,0.8404794746945643,0.8404794746945643,0.3679064443399166,0.3679064443399166,0.33476029535562835,0.3295797850165901,0.4104253756845818,0.4472192791515383,0.47979041452294796,0.4621862820253289,0.4757873077330918,0.4976070241424543,0.5165571389013323
